CRE items not in inventory





File: XGARUND.CRE, Name: Crunan, Item: .ITM,Duration: 0,Quantity/Charges 1: 0,Quantity/Charges 2: 23,Quantity/Charges 3: 5,Flags: ( Not stealable(1) Stolen(2) Unknown(5) Unknown(8) Unknown(19) Unknown(26) )
File: XGBODS.CRE, Name: Sœur de Bodhi, Item: RNDT.ITM,Duration: 43724,Quantity/Charges 1: 194,Quantity/Charges 2: 400,Quantity/Charges 3: 1216,Flags: ( Unknown(4) Unknown(5) Unknown(12) Unknown(16) Unknown(17) Unknown(18) Unknown(19) Unknown(20) Unknown(22) Unknown(23) Unknown(24) )
File: XGCATN.CRE, Name: Panthère, Item: EY.ITM,Duration: 26912,Quantity/Charges 1: 8302,Quantity/Charges 2: 43,Quantity/Charges 3: 5,Flags: ( Identified(0) Not stealable(1) Undroppable(3) Unknown(4) Unknown(6) Unknown(7) Unknown(8) Unknown(19) Unknown(26) )
File: XGCAT2.CRE, Name: Panthère, Item: None,Duration: 29811,Quantity/Charges 1: 46,Quantity/Charges 2: 43,Quantity/Charges 3: 5,Flags: ( Identified(0) Not stealable(1) Stolen(2) Undroppable(3) Unknown(4) Unknown(5) Unknown(6) Unknown(8) Unknown(19) Unknown(24) )
File: XGCAT1.CRE, Name: Panthère, Item: EY.ITM,Duration: 26912,Quantity/Charges 1: 8302,Quantity/Charges 2: 43,Quantity/Charges 3: 5,Flags: ( Identified(0) Not stealable(1) Undroppable(3) Unknown(4) Unknown(6) Unknown(7) Unknown(8) Unknown(19) Unknown(26) )
File: XGDRIZ.CRE, Name: Drizzt, Item: None,Duration: 30464,Quantity/Charges 1: 25701,Quantity/Charges 2: 9,Quantity/Charges 3: 15,Flags: ( Not stealable(1) Stolen(2) Undroppable(3) Unknown(5) Unknown(6) Unknown(8) Unknown(19) Unknown(24) Unknown(26) )
File: XGDRIZ.CRE, Name: Drizzt, Item:  K[ÈK[.ITM,Duration: 2732,Quantity/Charges 1: 5,Quantity/Charges 2: 24812,Quantity/Charges 3: 614,Flags: ( Undroppable(3) Unknown(5) Unknown(6) Unknown(7) Unknown(8) Unknown(10) Unknown(12) Unknown(14) Unknown(15) Unknown(17) Unknown(18) Unknown(20
File: XGDRIZA.CRE, Name: Drizzt, Item: None,Duration: 40086,Quantity/Charges 1: 182,Quantity/Charges 2: 8,Quantity/Charges 3: 15,Flags: ( Identified(0) Undroppable(3) Unknown(4) Unknown(6) Unknown(8) Unknown(20) Unknown(24) Unknown(26) )
File: XGDRIZA.CRE, Name: Drizzt, Item: ÈŸ·.ITM,Duration: 0,Quantity/Charges 1: 0,Quantity/Charges 2: 0,Quantity/Charges 3: 0,Flags: ( No flags set )
File: XGDRIZ2.CRE, Name: Drizzt, Item: .ITM,Duration: 10,Quantity/Charges 1: 0,Quantity/Charges 2: 9,Quantity/Charges 3: 15,Flags: ( Unknown(4) Unknown(5) Unknown(7) Unknown(8) Unknown(19) Unknown(24) Unknown(26) )
File: XGDRIZ2.CRE, Name: Drizzt, Item: None,Duration: 1270,Quantity/Charges 1: 12,Quantity/Charges 2: -13356,Quantity/Charges 3: 624,Flags: ( Undroppable(3) Unknown(5) Unknown(7) Unknown(8) Unknown(10) Unknown(11) Unknown(15) Unknown(20) Unknown(21) Unknown(22) Unknown(25) )
File: XGdrzz.cre, Name: Drizzt, Item: €&U.ITM,Duration: 0,Quantity/Charges 1: 0,Quantity/Charges 2: -18770,Quantity/Charges 3: 7839,Flags: ( Not stealable(1) Stolen(2) Unknown(5) Unknown(6) Unknown(7) Unknown(10) Unknown(14) Unknown(15) Unknown(16) Unknown(17) Unknown(18) Unknown(19) Unk
File: XGdrzz.cre, Name: Drizzt, Item: XÛHÄ
.ITM,Duration: 59028,Quantity/Charges 1: -27488,Quantity/Charges 2: -24428,Quantity/Charges 3: 29298,Flags: ( Identified(0) Not stealable(1) Unknown(7) Unknown(9) Unknown(12) Unknown(13) Unknown(14) Unknown(18) Unknown(20) Unknown(23) Unknown
File: XGDRZ.CRE, Name: Drizzt, Item: None,Duration: 0,Quantity/Charges 1: 0,Quantity/Charges 2: 4,Quantity/Charges 3: 15,Flags: ( Identified(0) Stolen(2) Undroppable(3) Unknown(6) Unknown(21) Unknown(24) Unknown(26) )
File: XGDRZ.CRE, Name: Drizzt, Item: ˜?.ITM,Duration: 25449,Quantity/Charges 1: 26988,Quantity/Charges 2: 29811,Quantity/Charges 3: 46,Flags: ( Undroppable(3) Unknown(5) Unknown(6) Unknown(8) Unknown(11) Unknown(13) Unknown(14) Unknown(18) Unknown(20) Unknown(21) Unknown(22) Unknown(24
